proto,port,open,hint,banner,details,error,tls_subject,tls_issuer,rdns,fingerprint
tcp,147,False,,,{},,,,DESKTOP-G804P63,
tcp,148,False,,,{},,,,DESKTOP-G804P63,
tcp,149,False,,,{},,,,DESKTOP-G804P63,
tcp,150,False,sql-net,,{},,,,DESKTOP-G804P63,
tcp,151,False,,,{},,,,DESKTOP-G804P63,
tcp,152,False,,,{},,,,DESKTOP-G804P63,
tcp,153,False,,,{},,,,DESKTOP-G804P63,
tcp,154,False,,,{},,,,DESKTOP-G804P63,
tcp,155,False,,,{},,,,DESKTOP-G804P63,
tcp,156,False,sqlsrv,,{},,,,DESKTOP-G804P63,
tcp,157,False,,,{},,,,DESKTOP-G804P63,
tcp,158,False,pcmail-srv,,{},,,,DESKTOP-G804P63,
tcp,159,False,,,{},,,,DESKTOP-G804P63,
tcp,160,False,,,{},,,,DESKTOP-G804P63,
tcp,161,False,SNMP,,{},,,,DESKTOP-G804P63,
tcp,162,False,,,{},,,,DESKTOP-G804P63,
tcp,163,False,,,{},,,,DESKTOP-G804P63,
tcp,164,False,,,{},,,,DESKTOP-G804P63,
tcp,165,False,,,{},,,,DESKTOP-G804P63,
tcp,166,False,,,{},,,,DESKTOP-G804P63,
tcp,167,False,,,{},,,,DESKTOP-G804P63,
tcp,168,False,,,{},,,,DESKTOP-G804P63,
tcp,169,False,,,{},,,,DESKTOP-G804P63,
tcp,170,False,print-srv,,{},,,,DESKTOP-G804P63,
tcp,171,False,,,{},,,,DESKTOP-G804P63,
tcp,172,False,,,{},,,,DESKTOP-G804P63,
tcp,173,False,,,{},,,,DESKTOP-G804P63,
tcp,174,False,,,{},,,,DESKTOP-G804P63,
tcp,175,False,,,{},,,,DESKTOP-G804P63,
tcp,176,False,,,{},,,,DESKTOP-G804P63,
tcp,177,False,,,{},,,,DESKTOP-G804P63,
tcp,178,False,,,{},,,,DESKTOP-G804P63,
tcp,179,False,bgp,,{},,,,DESKTOP-G804P63,
tcp,180,False,,,{},,,,DESKTOP-G804P63,
tcp,181,False,,,{},,,,DESKTOP-G804P63,
tcp,182,False,,,{},,,,DESKTOP-G804P63,
tcp,183,False,,,{},,,,DESKTOP-G804P63,
tcp,184,False,,,{},,,,DESKTOP-G804P63,
tcp,185,False,,,{},,,,DESKTOP-G804P63,
tcp,186,False,,,{},,,,DESKTOP-G804P63,
tcp,187,False,,,{},,,,DESKTOP-G804P63,
tcp,188,False,,,{},,,,DESKTOP-G804P63,
tcp,189,False,,,{},,,,DESKTOP-G804P63,
tcp,190,False,,,{},,,,DESKTOP-G804P63,
tcp,191,False,,,{},,,,DESKTOP-G804P63,
tcp,192,False,,,{},,,,DESKTOP-G804P63,
tcp,193,False,,,{},,,,DESKTOP-G804P63,
tcp,194,False,irc,,{},,,,DESKTOP-G804P63,
tcp,195,False,,,{},,,,DESKTOP-G804P63,
tcp,196,False,,,{},,,,DESKTOP-G804P63,
tcp,197,False,,,{},,,,DESKTOP-G804P63,
tcp,198,False,,,{},,,,DESKTOP-G804P63,
tcp,199,False,,,{},,,,DESKTOP-G804P63,
tcp,200,False,,,{},,,,DESKTOP-G804P63,
tcp,201,False,,,{},,,,DESKTOP-G804P63,
tcp,202,False,,,{},,,,DESKTOP-G804P63,
tcp,203,False,,,{},,,,DESKTOP-G804P63,
tcp,204,False,,,{},,,,DESKTOP-G804P63,
tcp,205,False,,,{},,,,DESKTOP-G804P63,
tcp,206,False,,,{},,,,DESKTOP-G804P63,
tcp,207,False,,,{},,,,DESKTOP-G804P63,
tcp,208,False,,,{},,,,DESKTOP-G804P63,
tcp,209,False,,,{},,,,DESKTOP-G804P63,
tcp,210,False,,,{},,,,DESKTOP-G804P63,
tcp,211,False,,,{},,,,DESKTOP-G804P63,
tcp,212,False,,,{},,,,DESKTOP-G804P63,
tcp,213,False,,,{},,,,DESKTOP-G804P63,
tcp,214,False,,,{},,,,DESKTOP-G804P63,
tcp,215,False,,,{},,,,DESKTOP-G804P63,
tcp,216,False,,,{},,,,DESKTOP-G804P63,
tcp,217,False,,,{},,,,DESKTOP-G804P63,
tcp,218,False,,,{},,,,DESKTOP-G804P63,
tcp,219,False,,,{},,,,DESKTOP-G804P63,
tcp,220,False,,,{},,,,DESKTOP-G804P63,
tcp,221,False,,,{},,,,DESKTOP-G804P63,
tcp,222,False,,,{},,,,DESKTOP-G804P63,
tcp,223,False,,,{},,,,DESKTOP-G804P63,
tcp,224,False,,,{},,,,DESKTOP-G804P63,
tcp,225,False,,,{},,,,DESKTOP-G804P63,
tcp,226,False,,,{},,,,DESKTOP-G804P63,
tcp,227,False,,,{},,,,DESKTOP-G804P63,
tcp,228,False,,,{},,,,DESKTOP-G804P63,
tcp,229,False,,,{},,,,DESKTOP-G804P63,
tcp,230,False,,,{},,,,DESKTOP-G804P63,
tcp,231,False,,,{},,,,DESKTOP-G804P63,
tcp,232,False,,,{},,,,DESKTOP-G804P63,
tcp,233,False,,,{},,,,DESKTOP-G804P63,
tcp,234,False,,,{},,,,DESKTOP-G804P63,
tcp,235,False,,,{},,,,DESKTOP-G804P63,
tcp,236,False,,,{},,,,DESKTOP-G804P63,
tcp,237,False,,,{},,,,DESKTOP-G804P63,
tcp,238,False,,,{},,,,DESKTOP-G804P63,
tcp,239,False,,,{},,,,DESKTOP-G804P63,
tcp,240,False,,,{},,,,DESKTOP-G804P63,
tcp,241,False,,,{},,,,DESKTOP-G804P63,
tcp,242,False,,,{},,,,DESKTOP-G804P63,
tcp,243,False,,,{},,,,DESKTOP-G804P63,
tcp,244,False,,,{},,,,DESKTOP-G804P63,
tcp,245,False,,,{},,,,DESKTOP-G804P63,
tcp,246,False,,,{},,,,DESKTOP-G804P63,
tcp,247,False,,,{},,,,DESKTOP-G804P63,
tcp,248,False,,,{},,,,DESKTOP-G804P63,
tcp,249,False,,,{},,,,DESKTOP-G804P63,
tcp,250,False,,,{},,,,DESKTOP-G804P63,
tcp,251,False,,,{},,,,DESKTOP-G804P63,
tcp,252,False,,,{},,,,DESKTOP-G804P63,
tcp,253,False,,,{},,,,DESKTOP-G804P63,
tcp,254,False,,,{},,,,DESKTOP-G804P63,
tcp,255,False,,,{},,,,DESKTOP-G804P63,
tcp,256,False,,,{},,,,DESKTOP-G804P63,
tcp,257,False,,,{},,,,DESKTOP-G804P63,
tcp,258,False,,,{},,,,DESKTOP-G804P63,
tcp,259,False,,,{},,,,DESKTOP-G804P63,
tcp,260,False,,,{},,,,DESKTOP-G804P63,
tcp,261,False,,,{},,,,DESKTOP-G804P63,
tcp,262,False,,,{},,,,DESKTOP-G804P63,
tcp,263,False,,,{},,,,DESKTOP-G804P63,
tcp,264,False,,,{},,,,DESKTOP-G804P63,
tcp,265,False,,,{},,,,DESKTOP-G804P63,
tcp,266,False,,,{},,,,DESKTOP-G804P63,
tcp,267,False,,,{},,,,DESKTOP-G804P63,
tcp,268,False,,,{},,,,DESKTOP-G804P63,
tcp,269,False,,,{},,,,DESKTOP-G804P63,
tcp,270,False,,,{},,,,DESKTOP-G804P63,
tcp,271,False,,,{},,,,DESKTOP-G804P63,
tcp,272,False,,,{},,,,DESKTOP-G804P63,
tcp,273,False,,,{},,,,DESKTOP-G804P63,
tcp,274,False,,,{},,,,DESKTOP-G804P63,
tcp,275,False,,,{},,,,DESKTOP-G804P63,
tcp,276,False,,,{},,,,DESKTOP-G804P63,
tcp,277,False,,,{},,,,DESKTOP-G804P63,
tcp,278,False,,,{},,,,DESKTOP-G804P63,
tcp,279,False,,,{},,,,DESKTOP-G804P63,
tcp,280,False,,,{},,,,DESKTOP-G804P63,
tcp,281,False,,,{},,,,DESKTOP-G804P63,
tcp,282,False,,,{},,,,DESKTOP-G804P63,
tcp,283,False,,,{},,,,DESKTOP-G804P63,
tcp,284,False,,,{},,,,DESKTOP-G804P63,
tcp,285,False,,,{},,,,DESKTOP-G804P63,
tcp,286,False,,,{},,,,DESKTOP-G804P63,
tcp,287,False,,,{},,,,DESKTOP-G804P63,
tcp,288,False,,,{},,,,DESKTOP-G804P63,
tcp,289,False,,,{},,,,DESKTOP-G804P63,
tcp,290,False,,,{},,,,DESKTOP-G804P63,
tcp,291,False,,,{},,,,DESKTOP-G804P63,
tcp,292,False,,,{},,,,DESKTOP-G804P63,
tcp,293,False,,,{},,,,DESKTOP-G804P63,
tcp,294,False,,,{},,,,DESKTOP-G804P63,
tcp,295,False,,,{},,,,DESKTOP-G804P63,
tcp,296,False,,,{},,,,DESKTOP-G804P63,
tcp,297,False,,,{},,,,DESKTOP-G804P63,
tcp,298,False,,,{},,,,DESKTOP-G804P63,
tcp,299,False,,,{},,,,DESKTOP-G804P63,
tcp,300,False,,,{},,,,DESKTOP-G804P63,
tcp,301,False,,,{},,,,DESKTOP-G804P63,
tcp,302,False,,,{},,,,DESKTOP-G804P63,
tcp,303,False,,,{},,,,DESKTOP-G804P63,
tcp,304,False,,,{},,,,DESKTOP-G804P63,
tcp,305,False,,,{},,,,DESKTOP-G804P63,
tcp,306,False,,,{},,,,DESKTOP-G804P63,
tcp,307,False,,,{},,,,DESKTOP-G804P63,
